"DateTime","Players","Players Trend","Twitch Viewers","Flags"
"2018-06-15 00:00:00",,,710,
"2018-06-16 00:00:00",,,163,
"2018-06-17 00:00:00",,,466,
"2018-06-18 00:00:00",,,724,
"2018-06-19 00:00:00",,,593,
"2018-06-20 00:00:00",,,511,
"2018-06-21 00:00:00",,,661,
"2018-06-22 00:00:00",,,416,
"2018-06-23 00:00:00",,,1119,
"2018-06-24 00:00:00",,,1101,
"2018-06-25 00:00:00",,,755,
"2018-06-26 00:00:00",,,549,
"2018-06-27 00:00:00",,,915,
"2018-06-28 00:00:00",,,1593,
"2018-06-29 00:00:00",,,751,
"2018-06-30 00:00:00",,,441,
"2018-07-01 00:00:00",,,194,
"2018-07-02 00:00:00",,,753,
"2018-07-03 00:00:00",,,356,
"2018-07-04 00:00:00",,,245,
"2018-07-05 00:00:00",,,346,
"2018-07-06 00:00:00",,,2818,
"2018-07-07 00:00:00",,,332,
"2018-07-08 00:00:00",,,1640,
"2018-07-09 00:00:00",,,3047,
"2018-07-10 00:00:00",,,3216,
"2018-07-11 00:00:00",,,3001,
"2018-07-12 00:00:00",,,1890,
"2018-07-13 00:00:00",,,3898,
"2018-07-14 00:00:00",,,2291,
"2018-07-15 00:00:00",,,2061,
"2018-07-16 00:00:00",,,3473,
"2018-07-17 00:00:00",,,2614,
"2018-07-18 00:00:00",,,1559,
"2018-07-19 00:00:00",,,539,
"2018-07-20 00:00:00",,,11625,
"2018-07-21 00:00:00",,,14203,
"2018-07-22 00:00:00",,,2894,
"2018-07-23 00:00:00",,,3373,
"2018-07-24 00:00:00",,,1011,
"2018-07-25 00:00:00",,,514,
"2018-07-26 00:00:00",,,314,
"2018-07-27 00:00:00",,,855,
"2018-07-28 00:00:00",,,543,
"2018-07-29 00:00:00",,,336,
"2018-07-30 00:00:00",,,280,
"2018-07-31 00:00:00",,,291,
"2018-08-01 00:00:00",,,1109,
"2018-08-02 00:00:00",,,821,
"2018-08-03 00:00:00",,,261,
"2018-08-04 00:00:00",,,259,
"2018-08-05 00:00:00",,,284,
"2018-08-06 00:00:00",,,1089,
"2018-08-07 00:00:00",,,1154,
"2018-08-08 00:00:00",,,1480,
"2018-08-09 00:00:00",,,303,
"2018-08-10 00:00:00",,,891,
"2018-08-11 00:00:00",,,301,
"2018-08-12 00:00:00",,,353,
"2018-08-13 00:00:00",,,458,
"2018-08-14 00:00:00",,,215,
"2018-08-15 00:00:00",,,187,
"2018-08-16 00:00:00",,,199,
"2018-08-17 00:00:00",,,235,
